name,gender,langage,frequency,translated_name
aaliyah,f,english (modern),0,عاليه
aapeli,m,finnish,0,Aapeli
aapo,m,finnish,0,AAPO
aaren,"m,f",english,0,آرين
aarne,m,finnish,0,هارن
aarón,m,spanish,0,آرون
aaron,m,"english, biblical",1.37,هارون
aatami,m,finnish,0,aatami
aatto,m,finnish,0,Aatto
aatu,m,finnish,0,AATU
abaddon,m,biblical,0,أبادون
abbán,m,irish,0,أبان
abbas,m,arabic,0,عباس
abbey,f,english,0.06,دير
abbie,f,english,0,آبي
abby,f,english,0,آبي
abd-al-aziz,m,arabic,0,عبد العزيز
abd-allah,m,arabic,0,عبد الله
abd-al-malik,m,arabic,0,عبد الماليك
abd-al-qadir,m,arabic,0,عبد القادر
abd-al-rahman,m,arabic,0,عبد الرحمن
abdul,m,arabic,0.29,عبد
abdul-aziz,m,arabic,0,عبد العزيز
abdullah,m,arabic,0.13,عبد الله
abdul-rahman,m,arabic,0,عبد الرحمن
abe,m,"english, jewish",0.03,آبي
abednego,m,biblical,0,عابنيغو
abegail,f,spanish,0,abegail
ábel,m,hungarian,0,ábel
abel,m,"english, french, spanish, biblical",5.38,هابيل
abelone,f,danish,0,أبيلون
abena,f,african,0,أبينا
abeni,f,african,0,أبيني
abhay,m,indian,0,أبهاي
abiah,"m,f",biblical,0,أبيا
abidan,m,biblical,0,أبيدان
abidemi,m,african,0,أبيديمي
abiel,m,biblical,0,أبيل
abigail,f,"english, german, biblical",0.06,أبيجيل
abigayle,f,english (modern),0,أبيغل
abihu,m,biblical,0,أبيهو
abijah,"m,f",biblical,0,أبيجا
abilene,f,biblical,0,أبيلين
abimael,m,biblical,0,أبيمل
abiram,m,biblical,0,أبرام
abisai,m,biblical (variant),0,أبيساي
abishag,f,biblical,0.03,أبيشاج
abishai,m,biblical,0,أبيشاي
abital,f,biblical,0,أبيتال
abla,f,arabic,0,Abla
abner,m,"english, biblical",0,أبنر
abraham,m,"english, jewish, biblical",3.15,إبراهيم
abram,m,biblical,0.03,أبرام
absalom,m,"english, biblical",0.03,أبشالوم
absolon,m,french,0,المطلق
acacia,f,english,2.07,أكاسيا
acacius,m,ancient greek (latinized),0,أكاسيوس
acantha,f,greek mythology (latinized),0,acantha
ace,m,english,0.03,بارِع
achaicus,m,"biblical, ancient greek (latinized)",0,Achaicus
achan,m,biblical,0,أخان
achieng,f,african,0,آشيج
achille,m,"french, italian",8.63,أخيل
achilles,m,greek mythology (latinized),0,أخيل
achim,m,german,0.03,آشم
acke,m,swedish,0,acke
ada,f,english,0.13,أدا
adah,f,biblical,0,أدا
adair,m,,0.03,أدير
adalbert,m,"ancient germanic, german",0.06,أدالبرت
adalberto,m,"italian, spanish, portuguese",0,أدالبرتو
adalheid,f,german,0,Adalheid
adalia,m,biblical,0,أدويا
ádám,m,hungarian,0,عدل
adam,m,"english, french, german, polish, russian, romanian, biblical",25.45,آدم
adamina,f,english,0,آدمينا
adamo,m,italian,0,أدامو
adán,m,spanish,0,أدين
adão,m,portuguese,0,Adão
adara,f,,0,adara
addie,f,english,0,أدي
addison,"m,f",english,0.64,أديسون
addy,f,english,0,أدي
adel,m,arabic,0,عادل
adela,f,english,0,أديلا
adélaïde,f,french,15.48,adélaïde
adelaide,f,english,0,أديليد
adèle,f,french,25.33,أديل
adelheid,f,"german, dutch",0,أديلهيد
adelia,f,english,0,أديليا
adelina,f,"italian, portuguese, spanish",0.67,أديلينا
adeline,f,"french, english",1.27,أدلين
adelle,f,english,0,أديل
adelmar,m,german,0,أدلار
adem,m,turkish,0,adem
aden,m,,0.54,عدن
adena,f,,0,أدينا
adhara,f,astronomy,0,adhara
adhiambo,f,african,0,adhiambo
adi,f,jewish,0,عدي
adil,m,arabic,0,عادل
adina,"f,m",biblical,0,أدينا
adino,m,biblical,0,أدينو
adisa,m,african,0,adisa
aditya,m,indian,0,أديتيا
adjoa,f,african,0,مجلة
adlai,m,biblical,0,أدلاي
adolf,m,german,2.42,أدولف
adolfo,m,"italian, spanish",0,أدولفو
adolph,m,english,0.06,أدولف
adolphe,m,french,1.72,أدولف
adolphus,m,history,0,أدولفوس
adonai,m,theology,0,Adonai
adonia,f,,0,أدونيا
adonijah,m,biblical,0,Adonijah
adonis,m,greek mythology,0.67,أدونيس
adora,f,spanish,0.03,أدورا
adorinda,f,esperanto,0,Adorinda
adorján,m,hungarian,0,أدورجان
adrasteia,f,greek mythology,0,Adroastia
adrastos,m,greek mythology,0,أدراستوس
adria,f,english,0,أدريا
adriaan,m,dutch,0,أدريان
adrián,m,spanish,0,أدريان
adrian,m,"english, romanian, russian",0.45,أدريان
adriana,f,"italian, spanish, portuguese, romanian, english",0.06,أدريانا
adrianna,f,english,0,أدريانا
adrianne,f,english,0,أدريان
adriano,m,italian,0.03,أدريانو
adrien,m,french,6.31,أدريان
adrienn,f,hungarian,0,أدرين
adrienne,f,french,2.01,أدريان
adwoa,f,african,0,Adwoa
aegle,f,greek mythology (latinized),0,إيجل
ælfwine,m,anglo-saxon,0,ælfwine
aella,f,greek mythology,0,وايلا
ælred,m,anglo-saxon,0,ælred
aemilia,f,ancient roman,0,الايميليا
aeneas,m,roman mythology,0.13,أينيس
aengus,m,irish,0,Aengus
aeolus,m,greek mythology (latinized),0,AEOLUS
aeron (1),"m,f",welsh,0,Aeron (1)
aeron (2),"f,m",welsh mythology,0,Aeron (2)
aeronwen,f,welsh,0,Aeronwen
aeronwy,f,welsh,0,Aeronwy
æsc,m,anglo-saxon,0,æsc
aeschylus,m,ancient greek (latinized),0,Aeschylus
aeson,m,greek mythology (latinized),0,إيسون
aesop,m,ancient greek (anglicized),0,AESOP
æðelbert,m,anglo-saxon,0,æelbert
æðelfrid,m,anglo-saxon,0,æelfrid
æðelmær,m,anglo-saxon,0,æ ðelmær
æðelred,m,anglo-saxon,0,æ ðelred
æðelstan,m,anglo-saxon,0,æelstan
æðelþryð,f,anglo-saxon,0,æðelþryð
afanasi,m,russian,0,أفاناسي
afanasy,m,russian,0,afanasy
afanen,f,welsh,0,أفانين
afia,f,african,0,أفيا
afolabi,m,african,0,أفولابي
afon,"f,m",welsh,0,آفون
afonso,m,portuguese,0,أفونسو
afra,f,,0,أفرا
africa,f,english,0.13,أفريقيا
afua,f,african,0,آفوا
agafya,f,russian,0,أغافيا
agamemnon,m,greek mythology,0.86,Agamemnon
agape,f,"greek, ancient greek",0.06,agape
agapios,m,"greek, ancient greek",0,agapios
agata,f,"italian, spanish, polish, czech, slovene, russian",0.03,أغاتا
agatha,f,english,0.19,أغاثا
agathangelos,f,ancient greek,0,Agathangelos
agathe,f,"french, german, greek, ancient greek",20.01,أغاث
agathon,m,ancient greek,0.06,أغاثون
agaue,f,greek mythology,0,agaue
aggie,f,english,0,آجي
aghavni,f,armenian,0,أغافني
ági,f,hungarian,0,ági
aglaia,f,"greek mythology, greek",0,Aglaia
aglaya,f,russian,0,Aglaya
aglea,f,,0,aglea
ágnes,f,hungarian,0,ágnes
agnès,f,french,3.95,agnès
agnes,f,"english, german, dutch, scandinavian",0.03,أغنيس
agnese,f,"italian, latvian",0.32,أجنيز
agnessa,f,russian,0,Agnessa
agneta,f,swedish,0,Agneta
agnethe,f,german,0,agnethe
agnieszka,f,polish,0,agnieszka
agostina,f,italian,0,أغوستينا
agostinho,m,portuguese,0.16,agostinho
agostino,m,italian,0.45,أغوستينو
ágoston,m,hungarian,0,ágoston
ágota,f,hungarian,0,#NAME?
agrafena,f,russian,0,أغرافينا
agrippa,m,"ancient roman, biblical",1.85,أغريبا
agrippina,f,ancient roman,0,Agrippina
agrona,f,celtic mythology,0,أغونا
águeda,f,spanish,0,águeda
agustín,m,spanish,0,agustín
ah,"m,f",chinese,180.28,آه
ahab,m,biblical,0,أهاب
aharon,m,jewish,0,أهارون
ahmad,m,arabic,0.03,أحمد
ahmed,m,arabic,2.71,أحمد
ahmet,m,turkish,0,أحمد
ahriman,m,near eastern mythology,0,أهريمان
ahtahkakoop,m,native american,0,ahtahkakoop
ahura mazda,m,near eastern mythology,0,Ahura Mazda
ahuva,f,jewish,0,ahuva
ai (1),f,japanese,0,منظمة العفو الدولية (1)
ai (2),f,chinese,0,منظمة العفو الدولية (2)
aias,m,greek mythology,0,AIAs
aida,f,english,3.95,عايدة
aidan,"m,f","irish, scottish",0,إيدان
aiden,m,,0,ايدن
aignéis,f,irish,0,aignéis
aikaterine,f,greek,0,أيكاترين
ailbhe,"m,f",irish,0,ailbhe
aileas,f,scottish,0,aileas
aileen,f,"scottish, english",0,إيلين
ailill,m,"irish, irish mythology",0,Ailill
ailín,m,irish,0,أيلين
ailís,f,irish,0,ailís
ailpein,m,scottish,0,Ailpein
ailsa,f,scottish,0,Ailsa
aimé,m,french,50.02,إيمي
aimée,f,french,14.85,Aimée
aimo,m,finnish,0,AIMO
aina,f,spanish,0,عينا
aindrea,m,scottish,0,Aindrea
aindréas,m,irish,0,Aindréas
aindriú,m,irish,0,Aindriú
áine,f,irish,0,áine
aingeal,f,irish,0,الاينجال
aino,f,finnish,0,Aino
ainsley,"m,f","english, scottish",0,أينسلي
ainslie,"m,f","english, scottish",0,أينسلي
aintzane,f,basque,0,Aintzane
aiolos,m,greek mythology,0,أيولوس
aisha,f,arabic,0,عائشة
aislin,f,"irish, english",0,أيسلين
aisling,f,irish,0,aisling
aislinn,f,irish,0,أيسلين
aithne,f,irish,0,أيث
aitor,m,basque,0,أيتور
ajax,m,greek mythology (latinized),0.38,أياكس
ajeet,m,indian,0,ajeet
ajit,m,indian,0,أجيت
ajith,m,indian,0,أجيث
akakios,m,"greek, ancient greek",0,أكاكيوس
akamu,m,hawaiian,0,أكامو
akanksha,f,indian,0,أكانشا
akeem,m,arabic,0,أكيم
akemi,f,japanese,0,أكمي
akhil,m,indian,0,أخيل
aki,"m,f",japanese,0.1,Aki
akiko,f,japanese,0,أكيكو
akilah,f,arabic,0,أكيلا
akilina,f,russian,0,أكيلينا
akim,m,russian,0.06,أكيم
akinyi,f,african,0,Akinyi
akio,m,japanese,0,أكيو
akira,m,japanese,0,أكيرا
akiva,m,jewish,0,أكيفا
akoni,m,hawaiian,0,أكوني
akosua,f,african,0,أكوسوا
aksel,m,"danish, norwegian",0,أكسل
aksinya,f,russian,0,أكسينة
aku,m,finnish,0,أكو
akua,f,african,0,أكوا
akulina,f,russian,0,أكولينا
al,m,english,6.88,آل
alaba,f,african,0,ألابا
alain,m,french,20.36,آلان
alaina,f,english,0,Alaina
alan,m,"english, scottish",0.32,آلان
alana,f,english,0,ألانا
alanis,f,english,0,آلانيس
alanna,f,english,0,ألانا
alannah,f,english,0,ألانا
alannis,f,english,0,ألانيس
alaois,m,irish,0,alaois
alaric,m,history,0.41,alaric
alasdair,m,scottish,0,الأسطاز
alastair,m,scottish,0,أليستر
alastar,m,irish,0,ألاستار
alastríona,f,irish,0,ألاستونا
alayna,f,english,0,Alayna
alba,f,"italian, spanish",0.25,ألبا
alban,m,"english, german",0.7,ألبان
alberic,m,english,0,alberic
albert,m,"english, french",27.88,ألبرت
alberta,f,"english, italian",0.22,ألبرتا
albertina,f,"italian, german, portuguese, english",0.06,ألبرتينا
albertine,f,french,4.08,ألبرتين
alberto,m,"italian, spanish, portuguese",1.34,ألبرتو
albina,f,italian,0,البيلينا
albrecht,m,german,0.16,ألبريشت
alby,m,irish,14.97,ألبي
alcaeus,m,ancient greek (latinized),0,alcaeus
alcippe,f,greek mythology (latinized),0,Alcippe
alcyone,f,greek mythology (latinized),0,Alcyone
alden,m,english,0.03,ألدن
aldo,m,italian,4.59,ألدو
aldous,m,english,0.22,ألدوس
aldrick,m,,0,ألدريك
alea,f,english (modern),1.31,أليا
alease,f,english,0,عقد الإيجار
alec,m,english,0.03,أليك
alechjo,m,esperanto,0,alechjo
aled,m,welsh,0,aled
aleesha,f,english (modern),0,أليشا
aleit,f,german,0,aleit
alejandra,f,spanish,0,أليخاندرا
alejandro,m,spanish,0,أليخاندرو
alejo,m,spanish,0,أليجو
aleksandar,m,"bulgarian, macedonian, croatian, serbian",0,ألكساندر
aleksander,m,"polish, slovene, albanian",0,ألكساندر
